iter	Passed	Remaining
0	116	116126
1	120	60282
2	123	40945
3	125	31330
4	129	25843
5	132	21909
6	134	19112
7	136	16933
8	139	15314
9	142	14133
10	145	13080
11	147	12159
12	149	11380
13	152	10743
14	155	10237
15	158	9744
16	162	9389
17	167	9113
18	170	8787
19	172	8454
20	174	8141
21	176	7848
22	178	7594
23	181	7373
24	183	7150
25	186	6971
26	187	6771
27	189	6578
28	191	6404
29	193	6268
30	197	6162
31	200	6058
32	203	5953
33	204	5822
34	207	5718
35	209	5619
36	213	5549
37	216	5483
38	218	5394
39	220	5293
40	221	5192
41	225	5134
42	228	5075
43	231	5033
44	234	4974
45	235	4894
46	237	4825
47	239	4756
48	242	4701
49	244	4651
50	247	4600
51	249	4540
52	250	4478
53	252	4426
54	256	4400
55	259	4374
56	262	4336
57	264	4289
58	267	4262
59	270	4231
60	273	4202
61	275	4174
62	277	4131
63	279	4087
64	282	4063
65	285	4034
66	287	4005
67	289	3964
68	290	3921
69	293	3897
70	299	3914
71	300	3877
72	302	3837
73	303	3800
74	305	3763
75	306	3727
76	307	3690
77	309	3654
78	310	3620
79	313	3599
80	314	3568
81	317	3553
82	318	3516
83	319	3489
84	321	3459
85	323	3433
86	324	3407
87	327	3391
88	329	3374
89	331	3350
90	333	3326
91	335	3306
92	336	3283
93	338	3264
94	390	3718
95	393	3709
96	396	3694
97	399	3673
98	401	3655
99	403	3634
100	405	3612
101	410	3611
102	446	3888
103	449	3868
104	452	3854
105	454	3831
106	460	3843
107	462	3819
108	463	3792
109	466	3771
110	468	3750
111	471	3741
112	474	3723
113	476	3702
114	478	3679
115	479	3657
116	481	3634
117	483	3616
118	489	3620
119	491	3601
120	493	3585
121	495	3563
122	497	3543
123	498	3524
124	502	3518
125	505	3506
126	507	3488
127	509	3470
128	511	3451
129	512	3432
130	515	3416
131	520	3421
132	523	3410
133	525	3397
134	530	3401
135	535	3404
136	538	3389
137	540	3375
138	542	3357
139	544	3345
140	548	3340
141	549	3322
142	551	3306
143	553	3290
144	555	3274
145	557	3261
146	559	3248
147	563	3243
148	565	3231
149	567	3215
150	569	3199
151	570	3184
152	572	3167
153	574	3153
154	578	3151
155	580	3141
156	582	3125
157	583	3109
158	585	3097
159	587	3085
160	588	3067
161	591	3058
162	594	3054
163	597	3044
164	598	3030
165	600	3015
166	601	3000
167	602	2984
168	603	2969
169	607	2965
170	610	2957
171	611	2944
172	613	2933
173	614	2918
174	616	2905
175	617	2892
176	619	2882
177	622	2875
178	625	2868
179	627	2858
180	629	2846
181	630	2834
182	632	2822
183	634	2811
184	637	2807
185	639	2800
186	641	2788
187	643	2778
188	645	2767
189	646	2755
190	648	2746
191	652	2746
192	656	2743
193	657	2733
194	659	2723
195	660	2711
196	662	2701
197	667	2702
198	671	2701
199	674	2696
200	676	2688
201	678	2678
202	680	2673
203	685	2673
204	687	2665
205	689	2656
206	690	2646
207	692	2636
208	693	2626
209	698	2626
210	701	2623
211	703	2616
212	705	2607
213	707	2597
214	708	2588
215	714	2592
216	717	2587
217	718	2578
218	720	2569
219	722	2560
220	724	2554
221	730	2560
222	733	2554
223	735	2546
224	736	2538
225	739	2533
226	743	2530
227	746	2526
228	748	2519
229	750	2511
230	752	2503
231	754	2498
232	757	2494
233	760	2489
234	761	2479
235	763	2470
236	764	2461
237	766	2452
238	767	2443
239	770	2440
240	773	2435
241	775	2429
242	777	2421
243	780	2416
244	781	2408
245	783	2402
246	787	2402
247	790	2397
248	792	2389
249	793	2381
250	795	2373
251	796	2364
252	799	2360
253	803	2359
254	805	2354
255	807	2346
256	808	2338
257	810	2330
258	812	2323
259	815	2320
260	818	2318
261	821	2312
262	822	2304
263	823	2297
264	825	2289
265	827	2282
266	829	2277
267	832	2273
268	834	2268
269	836	2261
270	837	2253
271	838	2245
272	840	2238
273	841	2230
274	843	2224
275	847	2222
276	850	2219
277	851	2211
278	853	2204
279	854	2197
280	856	2190
281	857	2182
282	859	2177
283	862	2173
284	864	2169
285	866	2163
286	867	2155
287	869	2148
288	870	2142
289	871	2134
290	873	2129
291	876	2125
292	878	2120
293	880	2114
294	881	2107
295	883	2100
296	884	2094
297	886	2087
298	887	2080
299	890	2077
300	892	2073
301	895	2068
302	896	2062
303	897	2055
304	899	2048
305	900	2042
306	902	2036
307	903	2030
308	906	2027
309	909	2023
310	910	2018
311	912	2011
312	913	2005
313	915	1999
314	916	1993
315	918	1987
316	921	1984
317	923	1981
318	925	1975
319	926	1969
320	928	1962
321	929	1957
322	930	1950
323	931	1944
324	934	1940
325	937	1938
326	939	1934
327	941	1928
328	943	1924
329	945	1918
330	946	1913
331	948	1909
332	974	1951
333	976	1947
334	978	1942
335	982	1941
336	985	1939
337	988	1935
338	990	1930
339	991	1925
340	993	1920
341	997	1918
342	1000	1917
343	1002	1912
344	1004	1906
345	1005	1901
346	1007	1895
347	1008	1890
348	1011	1886
349	1014	1883
350	1016	1880
351	1018	1875
352	1019	1869
353	1021	1863
354	1022	1858
355	1024	1853
356	1028	1851
357	1032	1850
358	1033	1846
359	1036	1842
360	1037	1837
361	1039	1832
362	1043	1830
363	1046	1828
364	1048	1824
365	1050	1819
366	1052	1814
367	1053	1809
368	1056	1806
369	1061	1807
370	1063	1803
371	1065	1798
372	1067	1795
373	1069	1790
374	1072	1788
375	1076	1785
376	1078	1781
377	1080	1777
378	1081	1772
379	1083	1767
380	1086	1764
381	1091	1766
382	1094	1763
383	1096	1759
384	1101	1759
385	1108	1764
386	1115	1766
387	1125	1774
388	1127	1771
389	1131	1769
390	1142	1778
391	1144	1775
392	1146	1771
393	1155	1777
394	1159	1775
395	1161	1771
396	1167	1773
397	1171	1771
398	1174	1769
399	1177	1766
400	1182	1766
401	1186	1765
402	1190	1763
403	1193	1760
404	1200	1763
405	1203	1760
406	1206	1757
407	1212	1758
408	1218	1760
409	1220	1756
410	1233	1767
411	1236	1764
412	1238	1759
413	1239	1754
414	1248	1760
415	1251	1756
416	1253	1752
417	1259	1752
418	1262	1751
419	1265	1747
420	1268	1744
421	1272	1742
422	1276	1741
423	1279	1738
424	1281	1733
425	1283	1729
426	1288	1729
427	1292	1727
428	1294	1723
429	1296	1719
430	1299	1715
431	1306	1717
432	1308	1713
433	1310	1709
434	1319	1714
435	1322	1710
436	1324	1706
437	1326	1702
438	1328	1697
439	1336	1700
440	1341	1699
441	1343	1695
442	1350	1698
443	1355	1697
444	1357	1692
445	1359	1688
446	1363	1686
447	1366	1683
448	1369	1680
449	1370	1675
450	1372	1670
451	1374	1665
452	1378	1664
453	1383	1663
454	1384	1658
455	1386	1654
456	1389	1650
457	1392	1648
458	1395	1644
459	1397	1641
460	1400	1637
461	1401	1632
462	1403	1627
463	1405	1623
464	1409	1621
465	1411	1617
466	1412	1612
467	1414	1607
468	1415	1602
469	1416	1597
470	1418	1592
471	1419	1587
472	1423	1585
473	1425	1582
474	1427	1577
475	1428	1573
476	1430	1568
477	1431	1563
478	1433	1559
479	1436	1556
480	1440	1554
481	1443	1550
482	1445	1546
483	1446	1542
484	1448	1538
485	1451	1535
486	1455	1533
487	1457	1529
488	1459	1524
489	1460	1520
490	1462	1515
491	1463	1511
492	1464	1506
493	1468	1503
494	1471	1500
495	1472	1496
496	1473	1491
497	1474	1486
498	1475	1481
499	1476	1476
500	1478	1472
501	1479	1467
502	1480	1462
503	1482	1459
504	1485	1456
505	1487	1451
506	1488	1447
507	1489	1442
508	1490	1437
509	1491	1433
510	1493	1428
511	1494	1424
512	1496	1420
513	1498	1417
514	1500	1413
515	1502	1409
516	1503	1405
517	1505	1400
518	1506	1396
519	1507	1391
520	1509	1387
521	1510	1382
522	1512	1379
523	1515	1376
524	1517	1372
525	1518	1368
526	1520	1364
527	1521	1360
528	1522	1355
529	1523	1351
530	1525	1346
531	1528	1344
532	1530	1340
533	1532	1337
534	1533	1333
535	1535	1329
536	1537	1325
537	1539	1321
538	1540	1317
539	1543	1314
540	1545	1311
541	1547	1307
542	1548	1303
543	1550	1299
544	1551	1295
545	1552	1291
546	1554	1286
547	1555	1282
548	1558	1280
549	1560	1277
550	1562	1273
551	1564	1269
552	1565	1265
553	1566	1261
554	1567	1257
555	1569	1252
556	1570	1249
557	1574	1247
558	1576	1244
559	1578	1240
560	1580	1236
561	1581	1232
562	1583	1228
563	1584	1224
564	1585	1221
565	1588	1218
566	1590	1214
567	1592	1211
568	1594	1207
569	1595	1203
570	1597	1199
571	1598	1196
572	1600	1192
573	1603	1189
574	1605	1186
575	1607	1183
576	1608	1179
577	1609	1175
578	1611	1171
579	1612	1167
580	1613	1163
581	1615	1160
582	1618	1157
583	1620	1154
584	1622	1151
585	1624	1147
586	1625	1143
587	1627	1140
588	1628	1136
589	1631	1133
590	1634	1130
591	1636	1127
592	1638	1124
593	1639	1120
594	1641	1117
595	1643	1113
596	1644	1109
597	1645	1106
598	1648	1103
599	1650	1100
600	1652	1097
601	1654	1093
602	1655	1090
603	1657	1086
604	1658	1082
605	1661	1080
606	1663	1077
607	1666	1074
608	1668	1071
609	1670	1067
610	1671	1064
611	1673	1060
612	1674	1057
613	1677	1054
614	1680	1052
615	1682	1049
616	1684	1045
617	1686	1042
618	1687	1038
619	1688	1034
620	1689	1031
621	1692	1028
622	1696	1026
623	1698	1023
624	1700	1020
625	1702	1016
626	1703	1013
627	1707	1011
628	1710	1009
629	1713	1006
630	1715	1003
631	1717	999
632	1719	997
633	1724	995
634	1727	993
635	1730	990
636	1732	987
637	1733	983
638	1736	981
639	1739	978
640	1743	976
641	1745	973
642	1747	970
643	1748	966
644	1751	963
645	1754	961
646	1757	959
647	1759	955
648	1760	952
649	1762	949
650	1763	945
651	1766	942
652	1769	940
653	1772	937
654	1774	934
655	1776	931
656	1777	928
657	1780	925
658	1783	922
659	1786	920
660	1788	917
661	1790	914
662	1791	910
663	1792	907
664	1795	904
665	1798	902
666	1801	899
667	1803	896
668	1804	892
669	1805	889
670	1807	886
671	1808	882
672	1811	880
673	1814	877
674	1816	874
675	1818	871
676	1819	868
677	1821	864
678	1822	861
679	1823	858
680	1827	855
681	1830	853
682	1832	850
683	1834	847
684	1835	844
685	1837	841
686	1840	838
687	1844	836
688	1847	833
689	1849	830
690	1850	827
691	1852	824
692	1853	821
693	1857	819
694	1861	816
695	1863	813
696	1864	810
697	1866	807
698	1867	804
699	1870	801
700	1873	799
701	1876	796
702	1878	793
703	1880	790
704	1881	787
705	1882	784
706	1886	781
707	1893	780
708	1895	777
709	1897	774
710	1898	771
711	1904	770
712	1907	767
713	1910	765
714	1912	762
715	1915	759
716	1919	757
717	1923	755
718	1926	752
719	1927	749
720	1929	746
721	1931	743
722	1935	741
723	1937	738
724	1938	735
725	1939	732
726	1941	729
727	1942	725
728	1944	722
729	1948	720
730	1950	717
